Name,Address,Phone,Speciality,Price_rate,Website,Total_Reviews,Reviews
Mambocino Cafe,10 Town Square Town Centre Erith DA8 1RE,020 8892 5169,Coffee & Tea Shops Restaurants,£,mambocino.com,1 review,"Mambocino is a new addition to the Erith shopping mall and some might say a surprising one. It was always going to be interesting to see how a coffee bar took off in the town and it's a case of so far, so good. ||| I particularly liked the decor, it was dark and quite relaxing and that combined with the smell of coffee made me very comfortable. I quickly established it as a place that I could come and do writing work as if you sit at the back you are able to cut yourself off from reality for a short while. ||| Unlike other coffee bars, Mambocino offers a full menu which includes all day breakfasts, pasta dishes, meals such as sausage and mash as well as a selection of hot paninis. They are well priced too with a majority of the menu costing under a fiver. The tea and coffee is a little cheaper than the chain stores and for those on the go they offer take away coffee for £1 which considering what other establishments would charge for quality coffee is quite reasonable. ||| The staff are also friendly and professional too, cutting short their conversation with friends to come over and serve me which is an attitude that I like as it made me feel important."
McDonald's,Avenue Road Compton Place Erith DA8 1RN,01322 351566,American (Traditional) Takeaway & Fast Food,£,mcdonalds.co.uk,2 reviews,"A place that you stop by if your hungry or just like there foods. The food is delicious and there McFlurrys are fab. There nuggets are worth a try as I would say there the best on the menu, and just like any other McDonald's restaurant. ||| This is an eat in place and also a drive through and open quite late. There's not much more to say. You drive up, order, pay, drive away, eat. And to be honest - McDonalds is McDonalds!"
Lang Sen Vietnamese Restaurant,305 Broadway London DA6 8DT,020 8304 6998,Vietnamese,no_pricerate,no_website,1 review,"Had a set meal , really enjoyed the beef hot pot an the vietnamese vodka. Good atmosphete an helpful friendly staff. Really worth the effort to wander that far down the broadway."
British Raj,68 Crayford High Street Dartford DA1 4EF,01322 554050,Indian Pakistani,££,no_website,3 reviews,"Went with the wife, found the restaurant to be very nicely presented, the service was first class and very prompt. We had a three course meal, it was very nice, no issues at all with the quality of the food or its portion size, the price was good value. Note i ordered chicken madras which was abit too tomatery!!(too red), tasted very nice, but if you are a madras person ask for less tomato and maybe abit more spice! IMO. very good though, will go again. ||| My sister raves about the food here and drives from Abbey Wood to pick it up. This obviously made me think it must be amazing and that I must try it. So when my boyfriend fancied Indian food we set our sights on The British Raj. ||| They don't deliver so my boyfriend went to order and collect. You can also phone up and collect. He reported that the restaurant was clean and would be quite nice to have a meal in. The guy who served him was really friendly and everything was quickly ordered.  ||| As we hadn't eaten here before, we didn't over order and went with the basics (for us anyway!). ||| We had a meat thali which had a selection of chicken and lamb curry - this comes with a plain bread and rice. We also ordered a garlic bread, onion bhajis and some vegetarian dishes. ||| Everything was fine, the garlic bread wasn't that nice. There was tons of food because of the thali and it was good value for money. It just didn't wow me. I would order from here again but with so many Indian takeaways near me, I may be inclined to try something else. ||| Fantastic food excellent service, very well priced definately our favourite indian."
Chan Oriental Food,91 Barnhurst Road Barnehurst DA7 6HG,01322 333152,Chinese,££,chan-bexleyheath.co.uk,3 reviews,"The service is great and the food is good too with healthy sized portions which are ideal for sharing with family and value for money. The THAI food is HIGHLY RECOMMENDED. The Chinese menu is not as good as Oriental Chefs, but pretty damn close. ||| The slogan on Chan's menu is ""restaurant quality at takeaway prices"", and I completely agree.  ||| It's a chinese takeaway with no option to dine in, but the food is a cut above the usual greasy neighbourhood chinese options. The portions are large, and the vegetables have a fresh ""crunch"" to them, rather than the limp frozen vegetables you often find from chinese takeaways. The freshly fried prawn crackers were also a nice change from the soft or cold ones some places give. ||| It's one of the more expensive chinese in the in the area, but I think it's worth paying a little extra for something that's nicer. It's just a shame they don't have a proper restaurant! ||| I have a fondness for Chinese food and Chan is a good place in the Bexley area to stop off and get some take away late at night. If you phone in advance and order your food is normally ready for you  by the time you get there. The service is great and the food is good too with healthy sized portions which are ideal for sharing with friends and value for money. The one time I have had a problem with an item which was missing from my order was dealt with superbly, no questions asked about making sure I got it second time around and a sincere apology from the staff which is all you can ask for really. ||| Parking is available across the street which allows you to pop in and out as quickly as possible and access from Bexleyheath and Erith areas is very easy."
Starburger,6 Cross Street Erith DA8 1RB,01322 331031,Takeaway & Fast Food,£,no_website,1 review,"I have fond memories of Starburger, a cafe in the Wimpy mould which has been in Erith ever since I was a child. Many a school friend's birthday party were held here and so for me personally this restaurant is a little piece of nostalgia. ||| It is wonderful to see that Starburger is still going strong after all these years. Whenever I go in or past it the tables are still full and orders are flying out thick and fast.  You are able to get seated upon entry and the waiter does not hassle you for an order right away. The menu consists mainly of fast food dishes such as burgers and fried chicken which if you like a particular way, they will do for you, something I like as I tend to want to remove certain elements of burger salad from my meal. The milkshakes are definitely worth checking out too, big, thick and cold, just the way they should be. ||| The meals are well priced with most available under £5. If you do not fancy sitting in, a take away option is there for you as is a delivery service for orders over £7. ||| It would not be the kind of place that I would go out of my way to visit but if you happen to find yourself in Erith and wanting food it is certainly worth going into."
Hippie Chippy,4 Station Road Crayford Dartford DA1 3QA,01322 527559,Fish & Chips,££,no_website,2 reviews,"My dad would always take us here on a Friday.  He's church of England but would always respect my mothers catholic heritage by honoring no meat on Friday. The 1st time must have been when I was 6 years old. ||| Will write some more soon... Tired... ||| Decent quality grub. The freshly cooked cod almost tempura-like. A basic chippie, but a good clean shop and friendly staff."
Delicio,157 Broadway Bexleyheath DA6 7EY,020 7998 0932,Mediterranean,no_pricerate,deliciorestaurant.com,1 review,"A good restaurant/cafe for a quick lunch after shopping in Bexleyheath. ||| The prices are reasonable and the staff are friendly, but with prompt service. A man, who I assume is the owner, has taken the time to speak with all the customers each time I've visited, which is a good sign.  ||| Although being advertised as a ""Mediterranean"" restaurant, there's something on the menu for almost everyone, from sandwiches and jacket potatoes to meze platters and kebabs."
Town Kebab,35 Bexley Road Erith DA8 1SH,01322 334886,Takeaway & Fast Food,£,no_website,1 review,"Town Kebab is quite basic and specialises in the basics such as burgers, doner, shish and shawarma kebabs and fried chicken. There's not much that makes the place stand out from other establishments, the prices are average, the food is tasty enough and being in Erith town centre it is easily accessible.  ||| The one down side is that later at night it does attract a lot of people from pubs in the surrounding area who when I was last in there got a bit rowdy and on the way to and from Town Kebab at that time you feel like you have to be careful and watch your back. This is obviously nothing to do with the people who run Town Kebab, it is more of an Erith thing but it is worth being vigilant in order to stay out of harms way."
Jade Garden,4 Mill Road Erith DA8 1HN,01322 337987,Chinese,££,no_website,1 review,Awesome. Simply amazing Chinese food.
Red Lucky Inn,39 Forest Road London DA8 2NU,01322 347459,Takeaway & Fast Food,no_pricerate,no_website,2 reviews,"good portions good priceS ||| i often have food from here.. tasty, well priced & always a friendly welcome. they deliver to.. but i get my liver from the butchers.. BOOM BOOM!! sorry"
La Baguette,17 Picardy Street Belvedere DA17 5QQ,020 8311 1113,Takeaway & Fast Food,no_pricerate,no_website,1 review,"It is rumoured that L.A Baguette in Belvedere was close to closing down recently because it was not making enough money. How?? This place is great. Sandwiches are made freshly to order exactly how you like them with a very wide selection of fillings in front of you so you can see exactly what is in your bap, roll or sandwich and how much you want in it. They also sell a selection of cakes and sweet treats as well as cold drinks so you can buy your complete lunch here, ||| The sandwiches are very filling, much better value than the likes of Subway and is located right next to Belvedere train station so it is easy to grab something for lunch on your way to work. They have also started a service which delivers sandwiches to local workplaces which is ideal for conferences or group lunches. If you are driving then free parking is available directly in front of the store. Waiting times are never too long either, no more than a couple of minutes even at busy times."
Nando's,2 Crayford Road Crayford Road Dartford DA1 4LD,01322 554023,Takeaway & Fast Food Chicken Shop,££,nandos.co.uk,7 reviews,"One of the best Nandos around and deservedly busy. The atmosphere is relaxed, the service first class, staff are polite & helpful. Parking is plentiful. The food is fantastic. seating is comfortable, its GREAT with the FAMILY or even a meal for two!.Its also near the tower retail park so after your wife has spent your money you can always get her to buy you a nice meal...then again!!! HIGHLY RECOMMENDED. ||| For years I have heard of Nando's and decided to give it a try even though I do not love chicken much. The first time I have to admit that I was quite disappointed. The food was not bad, but almost 9£ for a Chicken Breast Fillet Wrap with two small pieces of chicken was too much.  I ended up there a second time and decided to order something else. Chicken Breast Fillet Burger was better value than the wrap and good, but nothing special. Service was friendly and fast in both cases, but Nando's is not my cup of tea. ||| Really friendly place! The food is epic too! Remember to bring your Nando's vouchers! ||| I have only been to Nando's once and although I was not disappointed with the food, which was very nice. I was appalled by the service and the price. |||  Myself, my partner and our baby girl each had a burger and soft drinks and the bill came to in excess of £30! Furthermore, there are no waiters as such as you have to queue up to order at a till. |||  Although the food was tasty, it was overpriced and the experience wasn't enough like a restaurant to make me want to take my family there again. ||| I love nandos. I went to the one in Crayford only a weeks ago. We were a party of 14 and although they do not normally reserve a table, i was able to ring them an hour before we were due to go down there and they pleasantly agreed to get a table big enough for us all ready. |||  On this occassion the food was RAPID - i can honestly say that no sooner had i ordered, sat down, my food was in front of me. |||  I was, however, a little dissappointed that they only had fresh orange with bits and not any other form of juice (i.e. orange squash). But other than that a lovely experience. I will definietly be going back. ||| This Nando's is Crayford is very new , only a few month's old.Nando's is big there not normally this big.You can get a take away form Nando's which is handy for the people on there lunch break.Nando's sell chicken dishes which are lovely.Nando's are a good price and there food is very good , of a high quality.If you buy coke , you can get free refills on it which is good for the children.There is wide range of chicken dishes to choice from like burgers , half a chicken.You chose how hot you want your meal to be , i have medium heat.Which is not to spicy. ||| Great place, just like every Nando's is. Always recommended."
Big Daddy's Fish & Chips,94 Barnehurst Road Bexleyheath DA7 6HG,01322 359000,Fish & Chips,£,no_website,1 review,"This in my humble opinion is the BEST fish & chip shop i have ever eaten from. The chips are thick cut & crispy, the fish are crispy & tasty. service is quick, its very popular. Portion sizes are good & value for money. Extremely Recommended."
Spice House Restaurant,19 Crayford High Street London DA1 4HH,01322 557735,Restaurants,no_pricerate,hungryhouse.co.uk/chilli-crayf…,1 review,"I love Spice House .. Ok , it went through a patchy area , with bad chefs and average food , But now its back in safe hands , and the quality it once used to be has returned. I can honestly recommend so much from the expansive menu , that i could possibly be writing this review for the next 2 hours ! . The garlic chilli chicken is to die for , as is the Chicken tikka Rezalla , the lamb and chicken tikka starters are seriiously good and the garlic chicken rice is a must. The service is amazing , the staff very friendly , and they really cannot do enough for the customer. Highly recommended !!!!!."
Yildiran Kebab & Burger Bar,98 West Street Erith DA8 1AQ,01322 448761,Takeaway & Fast Food,no_pricerate,no_website,2 reviews,"Yildiran has to be one of the best kebab places in the Bexley area and that is evident by the number of people who go out of their way to get food from this establishment. Although there is no real nightlife directly around the area, it is still busy at all hours of the day. Luckily this does not affect serving time as the staff are quick and efficient at processing orders and delivering food (usual waiting time between 5-10mins). They are also really friendly and after a couple of visits they recognise your face and engage in conversation which I feel is a nice touch.  ||| Menu wise there is the usual selections of burgers, kebabs including doner, shish and shawarma which regular customers swear by. You have a choice of salads and sauces including the burger sauce which goes well on most food they serve. Personally the thing that makes this kebab house stand out from all others is the chips. They are always crispy and cooked to perfection. The eclairs also come highly recommended as a finishing touch to what is usually a marvellous meal.  ||| The one downside to this place is the size. It is very small and compact and when busy it is a little short for space. There one table with four seats but it is not really for staying in and eating your meal, it is more for customers to sit whilst they wait for their food. It is important to point out that this is primarily a take away joint. But considering the quick service time, this is not too much of a problem.  ||| Parking outside can be difficult on a busy night. Mildred Road provides the most convenient parking but more often than not people just neglectfully park their cars directly outside the shop thus clogging up the entire road when literally yards away there are plenty of parking spaces.  ||| Yildiran also provides a phone-in-advance service which means that you can collect your food on arrival without having to wait which is highly convenient for large orders or if you are in a rush.  ||| Prices are about the same as you would pay in other kebab shops for food but considering the quality (and the generous portions) Yildiran Kebabs provides great value for money. ||| Rubbish, absolutely appalling!! First of all, there was a chuck piece of plastic in my kebab and secondly the kebab I ordered was raw with blood!!!  ||| I've been a loyal customer for the past 10 years and the food used to be decent and the service wasn't half as bad, but it has honestly gone down the hill and it leaves me no choice but to go elsewhere for my kebab.  ||| I found it particularly humiliating when I was asked to put tips in the box provided by the staff. Don't get me wrong, I usually tip great services generously, ""willingly"", but not only does this particularly experience makes me want to get a refund let alone tipping them lol. What a joke! Thats it, I'm boycotting this place for good!"
Frankie & Benny's UK,28-70 Broadway Bexleyheath DA6 7LL,020 8303 5962,American (Traditional) Italian,££,frankieandbennys.com,5 reviews,"This is a decent restaurant in a traditional american 60's diner style. The food is what you'd expect really, nothing too fancy but they do some good burgers, the food is decent quality and reasonably priced. The staff are all friendly here, they also do some rather tasty cocktails. They have a nice bar and a cocktail barman who does all the flair so it's quite impressive. |||  They host a lot of birthday parties and it's a good place for a large group of people to go, they have tables which can be set together quite easily, often get parties of up to 20 here. |||  I'd recommend having a cocktail or too, it's conviniently located next to the cinema too for a film after, or the wetherspoons is just across the road for a drink! ||| I've been to this Frankie and Benny's a couple of times - with family and also with a large group of co-workers for a Christmas party. I wold definitely say I enjoyed it more when I was there for a normal dinner. |||  F&B's tries to pass itself off as New york-style Italian food, but as an expat New Yorker that this is just not true. This is typical anglicised Italian food that is decent enough for a dinner out, but not anything fantastic. |||  As for the Christmas party, I would definitely NOT recommend going here with a large group, at least not during the Christmas season. Although promised a larger roped off area, we were all packed into one long table with no room whatsoever to mingle. The food was not very good - not up to their normal standard - and service was very slow. I understand that it was packed and hectic, but hopefully since I've been they have learned to adjust themselves to such a situation. ||| Went with the family (2 kids), the decor & atmosphere was very nice indeed, the service was fantastic, the food was very good, the portion sizes was also very good, HOWEVER, if you are a steak person, as i am, this was not as good as in some places i have eaten, the steak seemed cheap bearing in mind the price £10., The rest of the families food was enjoyed very much. The 5 stars is for service, atmosphere and all food, EXCEPT the steak.. ||| Frankie and Benny's is a great place to go when you fancy some American food with the diner experience. |||  The menu consists of pizza, calzone, steak, chicken dishes and burgers; and the drinks menu has a number of cocktails, beers and soft drinks. |||  Although I usually enjoy eating at Frankie and Benny's I often find that I feel rushed. It isn't the sort of place where you can sit and enjoy a relaxing meal, and so I wouldn't recommend going there for a romantic meal, it is more a place to go with friends and family. ||| I used to love this place it was always great food but the last year or so I have been really disappointed the last few times I have been. The service was really slow and you know what its like when you have kids - they want to be fed now!! Also the last time I went in there it was for lunch and they hadn't had thier delivery so they didnt have burger, chick or fries!!! how can you open without fries!!! I might give it another go to see if I have just been unlucky."
The Morgan,1 Clydesdale Way Belvedere DA17 6LD,020 3137 9902,British Pubs,£,themorganpubbelvedere.co.uk,1 review,"I would really recommend this place to anyone living around DA17, between Thamesmead and Belvedere.  ||| Absolutely fun place. Always buzzing with crowd. Families, couples, friends and who else not! Everyone's enjoying their favourite meals and choices from the Carvery and other choices from the Kitchen.  ||| They serve food in sumptuous quantities. For the carvery, you have choices of three plate sizes, in different prices and you will be served by their Carvery Staff of the day.  ||| Their regular menu has a variety of stuff to try from platters, starters, soups, pastas, burgers, salads and fries, even sweet potato fries (hmm.. i love them) ||| Extremely helpful and wonderful staff.  ||| They have seating inside and outside (great for summer days). If you have kids, they have a nice play area outside, slides and things like that, which I'm sure the kids will love. They even hold parties. Beautiful pub to have your Sunday roast or to grab a pint anytime of the day.  ||| I go there at least once every week, mostly on weekends to have a quick brunch and I have never been disappointed.  ||| Food is also very good, I've uploaded a few pictures so you can take a look."
Wazobia,13 Pier Road London DA8 1TA,no_phone,African,no_pricerate,no_website,no_reviews,No Reviews
Stuzzichini,245A Broadway Bexleyheath DA6 8DB,020 8298 7210,Italian Cafes Delis,££,stuzzichini.co.uk,2 reviews,"Food here is AMAZING!!! Pasta made in house, cheese/charcuterie imported from Italy, fantastic selection of wine. This place has it all with a great ambience that can transcend from a romantic dinner to a meal with friends to private space for a large group or party.  Will definitely be coming back on my next trip to the UK!!! ||| Was recommended to come here by a friend. I thought the decor of the restaurant was nice but  found the service to be slow (staff were talking to one another and ignored us) the restaurant at the time wasn't busy!  ||| Ordered salmon dish and it was cold and undercooked! Had to send it back by the time they cooked it the other person had finished their dish. There was no apologies, felt like the staff didn't want us there ||| So I'm not impressed with this place and won't be coming back or recommending it to my friends or family."
Noble House,154 Long Lane Bexleyheath DA7 5AQ,020 8303 6451,Fish & Chips,no_pricerate,no_website,1 review,I like this place. Ok the food isn't out of this world but it's not bad either. The staff are including the delivery driver are also very polite. It gets my recommendation !
Spice Fusion,20 Station Road Dartford DA1 3QA,01322 522945,Indian,no_pricerate,spicefusion.net,1 review,Really good food! You also get a 10% discount on collection too.
Masala Inn,220 Broadway Bexleyheath DA6 7AU,020 8304 5314,Indian,no_pricerate,masalainn.co.uk,2 reviews,"This is definitely my favorite curry house in Kent. They always greet you with a warm welcome and every table in the restaurant is amazing. Excellent and quick service. The waiters always make you feel comfortable and know all my family by first name.  ||| The food is the best and always is great quality. Haven't had one bad meal yet. I normally get the the Railway Chicken and it's exceptional. Highly recommend.  ||| Overall, I will continue to use Masala Inn as my number 1 curry house! ||| Just had a fabulous experience at Masala Inn. ALL of the staff was so warm and inviting.  They were also very accommodating as we had a diner under 3 years old with us. They engaged with us and the little one which was nice! ||| The food was DELICIOUS. They brought out a crispy thing with 4 difference sauces which were delicious. I had the Tikki Masala with King Prawn it was really good. And my dining partner also enjoyed their Garlic Nag with Chicken. The Garlic Naan was also very good. ||| The restaurant was very clean, to include the restrooms. After dinner they serve a hot towel and mint. And a balloon for the child! The child loves it and great advertising as you walk down the mall! ||| If we were local, we would return - really good and very friendly staff."
Crayford Kebab,33 Crayford High Street Crayford Dartford DA1 4HH,01322 558765,Takeaway & Fast Food,£,no_website,2 reviews,"This is a very good kebab shop which delivers, the doner meat is lovely, not greasy or salty. The mixed grill is really taste and perfectly grilled. The portions are average in size, never had a complaint regarding food ordered from them, IMO they are the 2nd best kebab shop after Barnehurst kebab (these do not deliver). ||| Have just had my meal delivered. Coke was missing and gave me the wrong desert. When I called to complain I was told they didn't even do the dessert I had ordered!! Driver was rude. Food very average. I wouldn't order from them again. Avoid!!!!"
Morrisons Erith Cafe,James Watt Way London DA8 1BA,01322 336870,Cafes,no_pricerate,my.morrisons.com,no_reviews,No Reviews
Mumbai,15 Pier Road Erith DA8 1TA,01322 349090,Takeaway & Fast Food,no_pricerate,no_website,no_reviews,No Reviews
